raceId,driverId,constructorId,grid,position,laps,seconds,fastestLapSpeed,circuitId,Length,Turns,Constructor Experience,Driver Experience,Driver Age,Driver Wins,Constructor Wins,Driver Constructor Experience,DNF Score,prev_position,podium,year,month,day,pit_stop,pit_lap,pit_duration,pit_milliseconds
158,2,20,15,9,56,0.0,0.0,1,5.278,14,100,1,22,0,0.0,1,0.36,9.0,0,2000,3,12,1.0,11.0,23.601,23601.0
162,2,20,19,16,62,0.0,0.0,4,4.657,14,108,5,23,0,0.0,5,0.34,16.0,0,2000,5,7,2.0,31.0,23.575,23575.0
164,2,20,18,8,77,0.0,0.0,6,3.337,19,111,6,23,0,0.0,6,0.34,8.0,0,2000,6,4,1.0,17.0,21.709,21709.0
141,2,15,10,4,58,5978.012,0.0,1,5.278,14,263,17,23,0,0.0,1,0.21,4.0,0,2001,3,4,2.0,28.0,21.355,21355.0
144,2,15,12,7,61,0.0,0.0,21,4.909,19,269,20,23,0,0.0,4,0.2,7.0,0,2001,4,15,1.0,4.0,22.999,22999.0
150,2,15,9,6,71,0.0,0.0,8,4.411,17,281,26,24,0,0.0,10,0.22,6.0,0,2001,7,1,4.0,36.0,22.668,22668.0
157,2,15,10,9,52,0.0,0.0,22,5.807,18,295,33,24,0,0.0,17,0.21,9.0,0,2001,10,14,2.0,36.0,21.722,21722.0
125,2,15,7,5,55,0.0,0.0,2,5.543,15,299,35,24,0,0.0,19,0.21,5.0,0,2002,3,17,1.0,46.0,24.155,24155.0
127,2,15,7,10,61,0.0,0.0,21,4.909,19,303,37,24,0,0.0,21,0.21,10.0,0,2002,4,14,1.0,32.0,23.061,23061.0
128,2,15,8,4,65,5496.678,0.0,4,4.657,14,305,38,24,0,0.0,22,0.21,4.0,0,2002,4,28,1.0,12.0,20.418,20418.0
132,2,15,9,7,59,0.0,0.0,20,5.148,15,313,42,25,0,0.0,26,0.21,7.0,0,2002,6,23,4.0,31.0,27.025,27025.0
133,2,15,10,6,59,0.0,0.0,9,5.891,18,315,43,25,0,0.0,27,0.21,6.0,0,2002,7,7,1.0,31.0,20.761,20761.0
134,2,15,10,7,71,0.0,0.0,8,4.411,17,317,44,25,0,0.0,28,0.21,7.0,0,2002,7,21,1.0,25.0,27.733,27733.0
135,2,15,10,6,66,0.0,0.0,10,4.574,17,319,45,25,0,0.0,29,0.21,6.0,0,2002,7,28,1.0,31.0,21.338,21338.0
136,2,15,8,9,76,0.0,0.0,11,4.381,14,321,46,25,0,0.0,30,0.21,9.0,0,2002,8,18,1.0,12.0,22.037,22037.0
137,2,15,18,10,43,0.0,0.0,13,7.004,20,323,47,25,0,0.0,31,0.21,10.0,0,2002,9,1,2.0,30.0,22.357,22357.0
138,2,15,15,10,53,4662.028,0.0,14,5.793,11,325,48,25,0,0.0,32,0.21,10.0,0,2002,9,15,1.0,32.0,23.725,23725.0
140,2,15,12,7,52,0.0,0.0,22,5.807,18,329,50,25,0,0.0,34,0.21,7.0,0,2002,10,13,2.0,2.0,24.368,24368.0
109,2,15,6,8,55,0.0,0.0,2,5.543,15,333,52,25,0,0.0,36,0.21,8.0,0,2003,3,23,3.0,3.0,24.337,24337.0
111,2,15,11,10,61,0.0,0.0,21,4.909,19,337,54,25,0,0.0,38,0.21,10.0,0,2003,4,20,4.0,29.0,28.466,28466.0
112,2,15,14,10,63,0.0,0.0,4,4.657,14,339,55,26,0,0.0,39,0.21,10.0,0,2003,5,4,1.0,26.0,23.489,23489.0
114,2,15,14,11,76,0.0,0.0,6,3.337,19,343,57,26,0,0.0,41,0.21,11.0,0,2003,6,1,1.0,22.0,22.724,22724.0
116,2,15,20,8,59,0.0,0.0,20,5.148,15,347,59,26,0,0.0,43,0.21,8.0,0,2003,6,29,1.0,19.0,23.402,23402.0
118,2,15,16,17,58,0.0,0.0,9,5.891,18,351,61,26,0,0.0,45,0.22,17.0,0,2003,7,20,2.0,31.0,23.315,23315.0
119,2,15,15,10,65,0.0,0.0,10,4.574,17,353,62,26,0,0.0,46,0.22,10.0,0,2003,8,3,1.0,1.0,19.377,19377.0
120,2,15,11,9,69,0.0,0.0,11,4.381,14,355,63,26,0,0.0,47,0.22,9.0,0,2003,8,24,2.0,2.0,19.237,19237.0
121,2,15,16,9,52,0.0,0.0,14,5.793,11,357,64,26,0,0.0,48,0.22,9.0,0,2003,9,14,3.0,3.0,18.725,18725.0
123,2,15,11,9,53,5171.902,0.0,22,5.807,18,361,66,26,0,0.0,50,0.23,9.0,0,2003,10,12,1.0,24.0,21.274,21274.0
92,2,17,18,15,56,0.0,209.051,3,5.412,15,432,69,26,0,0.0,3,0.31,15.0,0,2004,4,4,1.0,19.0,21.821,21821.0
95,2,17,17,7,75,0.0,153.637,6,3.337,19,438,72,27,0,0.0,6,0.31,7.0,0,2004,5,23,1.0,26.0,24.302,24302.0
96,2,17,13,10,59,0.0,201.178,20,5.148,15,440,73,27,0,0.0,7,0.31,10.0,0,2004,5,30,1.0,18.0,22.464,22464.0
97,2,17,15,8,68,0.0,206.873,7,4.361,14,442,74,27,0,0.0,8,0.31,8.0,0,2004,6,13,1.0,22.0,20.377,20377.0
99,2,17,17,16,68,0.0,201.961,8,4.411,17,446,76,27,0,0.0,10,0.31,16.0,0,2004,7,4,2.0,40.0,21.329,21329.0
100,2,17,15,15,59,0.0,226.475,9,5.891,18,448,77,27,0,0.0,11,0.31,15.0,0,2004,7,11,1.0,25.0,22.085,22085.0
102,2,17,16,12,68,0.0,193.473,11,4.381,14,452,79,27,0,0.0,13,0.31,12.0,0,2004,8,15,1.0,12.0,23.739,23739.0
103,2,17,16,11,40,0.0,227.332,13,7.004,20,454,80,27,0,0.0,14,0.31,11.0,0,2004,8,29,1.0,16.0,23.335,23335.0
104,2,17,20,14,52,0.0,247.781,14,5.793,11,456,81,27,0,0.0,15,0.31,14.0,0,2004,9,12,1.0,33.0,24.31,24310.0
105,2,17,14,13,55,0.0,207.181,17,5.451,16,458,82,27,0,0.0,16,0.31,13.0,0,2004,9,26,1.0,25.0,28.982,28982.0
106,2,17,16,13,52,0.0,218.847,22,5.807,18,460,83,27,0,0.0,17,0.31,13.0,0,2004,10,10,1.0,42.0,18.978,18978.0
74,2,3,8,6,62,5333.203,211.623,21,4.909,19,897,88,27,0,114.0,4,0.52,6.0,0,2005,4,24,1.0,1.0,19.372,19372.0
75,2,3,17,10,65,0.0,217.687,4,4.657,14,899,89,28,0,114.0,5,0.52,10.0,0,2005,5,8,2.0,21.0,22.375,22375.0
81,2,3,14,12,59,0.0,222.02,9,5.891,18,911,95,28,0,114.0,11,0.52,12.0,0,2005,7,10,1.0,24.0,22.614,22614.0
82,2,3,7,11,66,0.0,214.946,10,4.574,17,913,96,28,0,114.0,12,0.52,11.0,0,2005,7,24,1.0,11.0,23.693,23693.0
83,2,3,12,6,70,5913.927,192.212,11,4.381,14,915,97,28,0,114.0,13,0.52,6.0,0,2005,7,31,2.0,37.0,23.915,23915.0
55,2,2,8,4,57,5698.87,217.683,1,5.278,14,6,101,28,0,0.0,3,0.5,4.0,0,2006,4,2,2.0,47.0,22.399,22399.0
56,2,2,15,13,61,0.0,207.595,21,4.909,19,8,102,28,0,0.0,4,0.5,13.0,0,2006,4,23,1.0,19.0,22.641,22641.0
57,2,2,13,10,59,0.0,197.084,20,5.148,15,10,103,29,0,0.0,5,0.5,10.0,0,2006,5,7,1.0,7.0,21.283,21283.0
58,2,2,10,8,65,0.0,213.913,4,4.657,14,12,104,29,0,0.0,6,0.42,8.0,0,2006,5,14,1.0,15.0,21.515,21515.0
59,2,2,15,7,77,0.0,155.511,6,3.337,19,14,105,29,0,0.0,7,0.36,7.0,0,2006,5,28,1.0,13.0,24.255,24255.0
60,2,2,9,7,60,5226.521,223.775,9,5.891,18,16,106,29,0,0.0,8,0.44,7.0,0,2006,6,11,2.0,34.0,24.324,24324.0
61,2,2,13,7,69,0.0,202.695,7,4.361,14,18,107,29,0,0.0,9,0.39,7.0,0,2006,6,25,1.0,22.0,22.644,22644.0
63,2,2,11,8,69,0.0,201.494,8,4.411,17,22,109,29,0,0.0,11,0.32,8.0,0,2006,7,16,2.0,36.0,23.597,23597.0
66,2,2,5,14,56,0.0,212.728,5,5.338,14,28,112,29,0,0.0,14,0.32,14.0,0,2006,8,27,1.0,27.0,22.265,22265.0
67,2,2,3,8,53,4537.284,250.375,14,5.793,11,30,113,29,0,0.0,15,0.37,8.0,0,2006,9,10,2.0,46.0,22.511,22511.0
68,2,2,8,7,56,5944.726,197.89,17,5.451,16,32,114,29,0,0.0,16,0.38,7.0,0,2006,10,1,1.0,11.0,24.266,24266.0
69,2,2,9,8,53,5108.508,221.16,22,5.807,18,34,115,29,0,0.0,17,0.41,8.0,0,2006,10,8,1.0,28.0,23.662,23662.0
37,2,2,5,4,56,5568.707,204.838,2,5.543,15,40,118,29,0,0.0,20,0.42,4.0,0,2007,4,8,1.0,20.0,28.905,28905.0
38,2,2,5,4,57,5621.346,206.236,3,5.412,15,42,119,29,0,0.0,21,0.45,4.0,0,2007,4,15,1.0,3.0,20.203,20203.0
40,2,2,7,6,77,0.0,156.072,6,3.337,19,46,121,30,0,0.0,23,0.43,6.0,0,2007,5,27,2.0,28.0,22.947,22947.0
43,2,2,7,5,70,5503.001,206.563,8,4.411,17,52,124,30,0,0.0,26,0.46,5.0,0,2007,7,1,5.0,53.0,20.015,20015.0
44,2,2,9,6,59,4959.41,225.727,9,5.891,18,54,125,30,0,0.0,27,0.48,6.0,0,2007,7,8,6.0,56.0,19.61,19610.0
47,2,2,6,4,58,5241.835,217.583,5,5.338,14,60,128,30,0,0.0,30,0.53,4.0,0,2007,8,26,2.0,48.0,21.39,21390.0
48,2,2,4,4,53,4774.368,249.217,14,5.793,11,62,129,30,0,0.0,31,0.55,4.0,0,2007,9,9,1.0,22.0,23.497,23497.0
49,2,2,6,5,44,4890.945,232.042,13,7.004,20,64,130,30,0,0.0,32,0.56,5.0,0,2007,9,16,1.0,19.0,23.912,23912.0
50,2,2,5,14,65,0.0,184.396,16,4.563,16,66,131,30,0,0.0,33,0.56,14.0,0,2007,9,30,2.0,49.0,23.731,23731.0
51,2,2,8,7,56,5952.619,197.569,17,5.451,16,68,132,30,0,0.0,34,0.56,7.0,0,2007,10,7,1.0,26.0,28.93,28930.0
19,2,2,5,6,56,5528.388,209.244,2,5.543,15,74,135,30,0,0.0,37,0.58,6.0,0,2008,3,23,2.0,42.0,23.591,23591.0
20,2,2,6,4,57,5475.379,208.231,3,5.412,15,76,136,30,0,1.0,38,0.59,4.0,0,2008,4,6,1.0,23.0,22.269,22269.0
21,2,2,9,9,66,5962.124,203.08,4,4.657,14,78,137,30,0,1.0,39,0.6,9.0,0,2008,4,27,1.0,24.0,23.943,23943.0
22,2,2,9,5,58,5248.192,220.328,5,5.338,14,80,138,31,0,1.0,40,0.61,5.0,0,2008,5,11,1.0,20.0,22.882,22882.0
23,2,2,12,14,72,0.0,149.829,6,3.337,19,82,139,31,0,1.0,41,0.62,14.0,0,2008,5,25,2.0,43.0,23.088,23088.0
25,2,2,11,13,70,5572.324,204.328,8,4.411,17,86,141,31,0,1.0,43,0.64,13.0,0,2008,6,22,1.0,26.0,22.178,22178.0
28,2,2,15,10,70,5914.776,191.908,11,4.381,14,92,144,31,0,1.0,46,0.65,10.0,0,2008,8,3,1.0,27.0,21.729,21729.0
31,2,2,10,5,53,5235.242,232.217,14,5.793,11,98,147,31,0,1.0,49,0.67,5.0,0,2008,9,14,3.0,66.0,22.426,22426.0
32,2,2,9,6,61,7047.405,169.992,15,4.94,19,100,148,31,0,1.0,50,0.68,6.0,0,2008,9,28,1.0,13.0,28.805,28805.0
33,2,2,16,9,67,5476.012,206.727,16,4.563,16,102,149,31,0,1.0,51,0.69,9.0,0,2008,10,12,1.0,14.0,28.406,28406.0
35,2,2,8,10,70,0.0,207.796,18,4.309,15,106,151,31,0,1.0,53,0.68,10.0,0,2008,11,2,1.0,23.0,23.377,23377.0
1,2,2,9,10,58,5662.869,216.245,1,5.278,14,108,152,31,0,1.0,54,0.68,10.0,0,2009,3,29,2.0,50.0,21.853,21853.0
4,2,2,14,19,56,0.0,203.11,3,5.412,15,114,155,31,0,1.0,57,0.67,19.0,0,2009,4,26,1.0,20.0,24.671,24671.0
8,2,2,15,15,59,0.0,225.823,9,5.891,18,122,159,32,0,1.0,61,0.65,15.0,0,2009,6,21,3.0,32.0,22.445,22445.0
9,2,2,11,10,60,5865.235,195.991,20,5.148,15,124,160,32,0,1.0,62,0.65,10.0,0,2009,7,12,4.0,44.0,22.8,22800.0
12,2,2,3,5,44,5042.271,234.834,13,7.004,20,130,163,32,0,1.0,65,0.67,5.0,0,2009,8,30,1.0,16.0,23.983,23983.0
13,2,2,15,7,53,4664.118,243.95,14,5.793,11,132,164,32,0,1.0,66,0.67,7.0,0,2009,9,13,2.0,45.0,23.18,23180.0
15,2,2,4,6,53,5309.952,223.346,22,5.807,18,136,166,32,0,1.0,68,0.67,6.0,0,2009,10,4,1.0,40.0,27.162,27162.0
353,2,15,13,9,55,10180.917,178.469,35,5.615,18,469,171,33,0,0.0,53,0.26,9.0,0,2010,10,24,1.0,8.0,23.86,23860.0
355,2,15,14,11,55,6028.388,194.738,24,5.281,16,473,173,33,0,0.0,55,0.26,11.0,0,2010,11,14,2.0,19.0,24.061,24061.0
841,2,4,18,12,57,0.0,206.661,1,5.278,14,551,174,33,0,46.0,1,0.46,12.0,0,2011,3,27,3.0,35.0,24.345,24345.0
843,2,4,16,12,56,5890.965,191.625,17,5.451,16,555,176,33,0,46.0,3,0.46,12.0,0,2011,4,17,1.0,13.0,24.839,24839.0
844,2,4,9,7,58,5478.415,213.145,5,5.338,14,557,177,34,0,46.0,4,0.46,7.0,0,2011,5,8,2.0,28.0,24.076,24076.0
53,3,3,12,7,57,5449.248,210.838,3,5.412,15,929,1,20,0,114.0,1,0.52,7.0,0,2006,3,12,1.0,2.0,22.426,22426.0
56,3,3,13,11,62,5546.161,206.581,21,4.909,19,935,4,20,0,114.0,4,0.52,11.0,0,2006,4,23,2.0,3.0,22.164,22164.0
57,3,3,22,7,60,5833.33,198.044,20,5.148,15,937,5,20,0,114.0,5,0.52,7.0,0,2006,5,7,3.0,37.0,26.907,26907.0
58,3,3,13,11,65,0.0,213.935,4,4.657,14,939,6,20,0,114.0,6,0.52,11.0,0,2006,5,14,1.0,28.0,22.22,22220.0
60,3,3,12,9,60,5230.935,223.209,9,5.891,18,943,8,20,0,114.0,8,0.52,9.0,0,2006,6,11,2.0,42.0,22.078,22078.0
63,3,3,18,14,68,0.0,201.527,8,4.411,17,949,11,21,0,114.0,11,0.51,14.0,0,2006,7,16,2.0,67.0,24.244,24244.0
68,3,3,15,11,55,0.0,195.316,17,5.451,16,959,16,21,0,114.0,16,0.51,11.0,0,2006,10,1,1.0,11.0,22.47,22470.0
39,3,3,11,6,65,5555.768,200.231,4,4.657,14,971,22,21,0,114.0,22,0.51,6.0,0,2007,5,13,1.0,28.0,21.219,21219.0
41,3,3,7,10,70,6275.276,203.478,7,4.361,14,975,24,21,0,114.0,24,0.51,10.0,0,2007,6,10,1.0,31.0,21.005,21005.0
47,3,3,8,7,58,5257.939,217.05,5,5.338,14,987,30,22,0,114.0,30,0.51,7.0,0,2007,8,26,2.0,4.0,21.731,21731.0
48,3,3,8,6,53,4783.616,246.884,14,5.793,11,989,31,22,0,114.0,31,0.51,6.0,0,2007,9,9,3.0,19.0,21.516,21516.0
49,3,3,5,6,44,4915.942,229.704,13,7.004,20,991,32,22,0,114.0,32,0.51,6.0,0,2007,9,16,4.0,47.0,21.208,21208.0
51,3,3,15,16,54,0.0,197.752,17,5.451,16,995,34,22,0,114.0,34,0.5,16.0,0,2007,10,7,4.0,47.0,21.208,21208.0
52,3,3,10,4,71,5358.118,212.036,18,4.309,15,997,35,22,0,114.0,35,0.5,4.0,0,2007,10,21,1.0,20.0,19.77,19770.0
24,3,3,5,10,70,5838.976,201.336,7,4.361,14,1011,42,22,0,114.0,42,0.5,10.0,0,2008,6,8,1.0,50.0,22.684,22684.0
25,3,3,19,16,69,0.0,202.776,8,4.411,17,1013,43,23,0,114.0,43,0.5,16.0,0,2008,6,22,1.0,13.0,24.481,24481.0
26,3,3,20,9,59,0.0,195.234,9,5.891,18,1015,44,23,0,114.0,44,0.5,9.0,0,2008,7,6,2.0,37.0,23.676,23676.0
27,3,3,13,10,67,5518.499,212.799,10,4.574,17,1017,45,23,0,114.0,45,0.5,10.0,0,2008,7,20,1.0,29.0,22.373,22373.0
28,3,3,14,14,69,0.0,191.409,11,4.381,14,1019,46,23,0,114.0,46,0.5,14.0,0,2008,8,3,1.0,7.0,17.91,17910.0
30,3,3,15,12,43,0.0,227.862,13,7.004,20,1023,48,23,0,114.0,48,0.5,12.0,0,2008,9,7,3.0,26.0,22.69,22690.0
31,3,3,5,14,53,5276.129,231.671,14,5.793,11,1025,49,23,0,114.0,49,0.5,14.0,0,2008,9,14,4.0,43.0,22.664,22664.0
33,3,3,15,11,67,5483.988,206.545,16,4.563,16,1029,51,23,0,114.0,51,0.5,11.0,0,2008,10,12,2.0,42.0,25.381,25381.0
34,3,3,14,15,55,0.0,201.793,17,5.451,16,1031,52,23,0,114.0,52,0.5,15.0,0,2008,10,19,1.0,10.0,20.58,20580.0
2,3,3,4,8,31,4323.668,204.459,2,5.543,15,1037,55,23,0,114.0,55,0.5,8.0,0,2009,4,5,1.0,14.0,21.595,21595.0
3,3,3,7,15,55,0.0,171.77,17,5.451,16,1039,56,23,0,114.0,56,0.5,15.0,0,2009,4,19,1.0,11.0,25.201,25201.0
4,3,3,9,9,57,5566.38,203.339,3,5.412,15,1041,57,23,0,114.0,57,0.5,9.0,0,2009,4,26,2.0,27.0,25.796,25796.0
5,3,3,9,8,66,5904.413,200.404,4,4.657,14,1043,58,23,0,114.0,58,0.5,8.0,0,2009,5,10,3.0,44.0,25.579,25579.0
6,3,3,6,6,78,6077.868,158.686,6,3.337,19,1045,59,23,0,114.0,59,0.5,6.0,0,2009,5,24,1.0,40.0,21.788,21788.0
7,3,3,9,5,58,5216.387,217.823,5,5.338,14,1047,60,23,0,114.0,60,0.5,5.0,0,2009,6,7,1.0,22.0,17.877,17877.0
9,3,3,15,4,60,5824.409,196.315,20,5.148,15,1051,62,24,0,114.0,62,0.51,4.0,0,2009,7,12,1.0,22.0,18.82,18820.0
12,3,3,10,8,44,5067.203,233.973,13,7.004,20,1057,65,24,0,114.0,65,0.51,8.0,0,2009,8,30,3.0,48.0,22.241,22241.0
13,3,3,18,16,51,0.0,242.777,14,5.793,11,1059,66,24,0,114.0,66,0.51,16.0,0,2009,9,13,1.0,15.0,24.796,24796.0
14,3,3,3,11,61,7026.114,168.55,15,4.94,19,1061,67,24,0,114.0,67,0.51,11.0,0,2009,9,27,2.0,22.0,24.507,24507.0
17,3,3,9,9,55,5689.355,197.97,24,5.281,16,1067,70,24,0,114.0,70,0.51,9.0,0,2009,11,1,1.0,9.0,21.47,21470.0
141,4,18,19,12,56,0.0,0.0,1,5.278,14,502,1,19,0,0.0,1,0.28,12.0,0,2001,3,4,3.0,42.0,23.156,23156.0
142,4,18,21,13,52,0.0,0.0,2,5.543,15,504,2,19,0,0.0,2,0.28,13.0,0,2001,3,18,3.0,42.0,23.156,23156.0
145,4,18,18,13,63,0.0,0.0,4,4.657,14,510,5,19,0,0.0,5,0.29,13.0,0,2001,4,29,3.0,42.0,23.156,23156.0
149,4,18,21,14,65,0.0,0.0,20,5.148,15,518,9,19,0,0.0,9,0.29,14.0,0,2001,6,24,3.0,42.0,23.156,23156.0
150,4,18,21,17,65,0.0,0.0,8,4.411,17,520,10,19,0,0.0,10,0.29,17.0,0,2001,7,1,3.0,42.0,23.156,23156.0
151,4,18,21,16,57,0.0,0.0,9,5.891,18,522,11,19,0,0.0,11,0.29,16.0,0,2001,7,15,3.0,42.0,23.156,23156.0
152,4,18,21,10,44,0.0,0.0,10,4.574,17,524,12,20,0,0.0,12,0.29,10.0,0,2001,7,29,3.0,42.0,23.156,23156.0
155,4,18,21,13,51,0.0,0.0,14,5.793,11,530,15,20,0,0.0,15,0.29,13.0,0,2001,9,16,3.0,42.0,23.156,23156.0
157,4,18,18,11,52,0.0,0.0,22,5.807,18,534,17,20,0,0.0,17,0.29,11.0,0,2001,10,14,3.0,42.0,23.156,23156.0
108,4,4,10,7,58,5727.174,0.0,1,5.278,14,267,18,21,0,11.0,1,0.28,7.0,0,2003,3,9,3.0,42.0,23.156,23156.0
111,4,4,8,6,62,5335.747,0.0,21,4.909,19,273,21,21,0,11.0,4,0.29,6.0,0,2003,4,20,3.0,42.0,23.156,23156.0
114,4,4,8,5,78,6175.261,0.0,6,3.337,19,279,24,21,0,11.0,7,0.3,5.0,0,2003,6,1,3.0,42.0,23.156,23156.0
115,4,4,4,4,70,5478.072,0.0,7,4.361,14,281,25,21,0,11.0,8,0.3,4.0,0,2003,6,15,3.0,42.0,23.156,23156.0
116,4,4,8,4,60,5749.353,0.0,20,5.148,15,283,26,21,0,11.0,9,0.3,4.0,0,2003,6,29,3.0,42.0,23.156,23156.0
119,4,4,8,4,67,5398.113,0.0,10,4.574,17,289,29,22,0,11.0,12,0.3,4.0,0,2003,8,3,3.0,42.0,23.156,23156.0
121,4,4,20,8,52,0.0,0.0,14,5.793,11,293,31,22,1,11.0,14,0.3,8.0,0,2003,9,14,3.0,42.0,23.156,23156.0
91,4,4,19,7,56,5535.367,208.105,2,5.543,15,301,35,22,1,11.0,18,0.31,7.0,0,2004,3,21,3.0,42.0,23.156,23156.0
92,4,4,16,6,57,5368.031,215.116,3,5.412,15,303,36,22,1,11.0,19,0.32,6.0,0,2004,4,4,3.0,42.0,23.156,23156.0
93,4,4,6,4,62,5203.324,217.499,21,4.909,19,305,37,22,1,11.0,20,0.32,4.0,0,2004,4,25,3.0,42.0,23.156,23156.0
94,4,4,8,4,66,5285.793,214.776,4,4.657,14,307,38,22,1,11.0,21,0.33,4.0,0,2004,5,9,3.0,42.0,23.156,23156.0
96,4,4,6,5,60,5616.088,203.511,20,5.148,15,311,40,22,1,11.0,23,0.33,5.0,0,2004,5,30,3.0,42.0,23.156,23156.0
100,4,4,16,10,60,5107.535,230.073,9,5.891,18,319,44,22,1,11.0,27,0.34,10.0,0,2004,7,11,3.0,42.0,23.156,23156.0
105,4,4,6,4,56,5384.93,209.597,17,5.451,16,329,49,23,1,11.0,32,0.34,4.0,0,2004,9,26,3.0,42.0,23.156,23156.0
106,4,4,11,5,53,5104.752,221.737,22,5.807,18,331,50,23,1,11.0,33,0.34,5.0,0,2004,10,10,3.0,42.0,23.156,23156.0
